"Rk","Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","Gls...12","Ast...13","G+A...14","G-PK...15","PK","PKatt","CrdY","CrdR","xG...20","npxG...21","xAG...22","npxG+xAG...23","PrgC","PrgP","PrgR","Gls...27","Ast...28","G+A...29","G-PK...30","G+A-PK","xG...32","xAG...33","xG+xAG","npxG...35","npxG+xAG...36","Matches","logAge"
"359","Callum Paterson","sct SCO","FW,MF","Cardiff City",23,"1994","27","21",1998,"22.2","4","1","5","4","0","0","4","0","5.5","5.5","2.8","8.1999999999999993","13","68","63","0.18","0.05","0.23","0.18","0.23","0.25","0.12","0.37","0.25","0.37","Matches",3.13549421592915
"360","Rui Patrício","pt POR","GK","Wolves",30,"1988","37","37",3329,"37","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.40119738166216
"361","Pedro","es ESP","FW","Chelsea",31,"1987","31","21",1778,"19.8","8","2","10","8","0","0","2","0","5.3","5.3","3.5","8.8000000000000007","63","94","202","0.4","0.1","0.51","0.4","0.51","0.27","0.18","0.45","0.27","0.45","Matches",3.43398720448515
"362","Lee Peltier","eng ENG","DF","Cardiff City",31,"1986","20","17",1544,"17.2","0","0","0","0","0","0","4","0","0","0","0.1","0.1","1","33","11","0","0","0","0","0","0","0.01","0.01","0","0.01","Matches",3.43398720448515
"363","Andreas Pereira","br BRA","MF","Manchester Utd",22,"1996","15","6",599,"6.7","1","1","2","1","0","0","5","0","0.3","0.3","0.9","1.1000000000000001","10","33","19","0.15","0.15","0.3","0.15","0.3","0.04","0.13","0.17","0.04","0.17","Matches",3.09104245335832
"364","Ricardo Pereira","pt POR","DF,FW","Leicester City",24,"1993","35","35",3123,"34.700000000000003","2","6","8","2","0","0","7","0","1.2","1.2","5.2","6.4","114","170","150","0.06","0.17","0.23","0.06","0.23","0.04","0.15","0.18","0.04","0.18","Matches",3.17805383034795
"365","Roberto Pereyra","ar ARG","MF","Watford",27,"1991","33","33",2815,"31.3","6","1","7","6","0","0","3","0","5.4","5.4","3.2","8.6","101","117","188","0.19","0.03","0.22","0.19","0.22","0.17","0.1","0.28000000000000003","0.17","0.28000000000000003","Matches",3.29583686600433
"366","Ayoze Pérez","es ESP","MF,FW","Newcastle Utd",25,"1993","37","34",2917,"32.4","12","2","14","12","0","0","2","0","7.5","7.5","3.6","11.1","72","82","159","0.37","0.06","0.43","0.37","0.43","0.23","0.11","0.34","0.23","0.34","Matches",3.2188758248682
"367","Lucas Pérez","es ESP","FW,MF","West Ham",29,"1988","15","4",475,"5.3","3","0","3","3","0","0","0","0","1.3","1.3","0.8","2.1","2","7","34","0.56999999999999995","0","0.56999999999999995","0.56999999999999995","0.56999999999999995","0.24","0.16","0.39","0.24","0.39","Matches",3.36729582998647
"368","Jordan Pickford","eng ENG","GK","Everton",24,"1994","38","38",3420,"38","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.17805383034795
